title,type,dates
K: Memory of Red,Manga (3 vols),May 2012 - Jul 2013
Innocent,Manga (9 vols),Jan 2013 - Apr 2015
Aoharu x Kikanjuu,Manga (? vols),Jun 2012 -
Amaama to Inazuma,Manga (12 vols),Feb 2013 - Dec 2018
Dead Dead Demon's Dededededestruction,Manga (? vols),Apr 2014 -
Karakai Jouzu no Takagi-san,Manga (? vols),Jun 2012 -
Skill of Lure,Manhwa (7 vols),Mar 2013 - Jan 2016
Shinsetsu Ookami to Koushinryou: Ookami to Youhishi,Novel (? vols),Sep 2016 -
Tokidoki,One-shot (? vols),Oct 2016 - Oct 2016
Ojisama to Neko,Manga (? vols),Jun 2017 -
Hikaru no Go,Manga (23 vols),Dec 1998 - Jul 2003
Gantz,Manga (37 vols),Jul 2000 - Jun 2013
Pocket Monsters Special,Manga (? vols),Apr 1997 -
H2,Manga (34 vols),1992 - 1999
Hotarubi no Mori e,Manga (1 vols),Jun 2002 - Mar 2003
Ginga Nagareboshi Gin,Manga (18 vols),Nov 1983 - Feb 1987
Yamamoto Zenjirou to Moushimasu,Manga (5 vols),Feb 2007 - Aug 2011
Adekan,Manga (? vols),Jul 2007 -
Shaman King Kanzenban,Manga (? vols),Mar 2008 - Apr 2009
Saraiya Goyou,Manga (8 vols),Nov 2005 - Jul 2010
Sunny,Manga (6 vols),Dec 2010 - Jul 2015
Ouran Koukou Host Club Short Special,One-shot (? vols),Nov 2010 - Nov 2010
Shouwa Genroku Rakugo Shinjuu,Manga (10 vols),Mar 2010 - Jun 2016
Kubera,Manhwa (? vols),Feb 2010 -
Kagerou Daze,Novel (8 vols),May 2012 - Dec 2017
Mahou Shoujo Madoka★Magica: The Different Story,Manga (3 vols),Jun 2012 - Nov 2012
Kono Subarashii Sekai ni Shukufuku wo! Spin-off: Kono Subarashii Sekai ni Bakuen wo!,Novel (5 vols),Jul 2014 - Mar 2019
Monogatari Series: Off Season,Novel (4 vols),Oct 2015 - Jan 2017
Beauty Pop,Manga (10 vols),Sep 2003 - Feb 2008
Gunnm: Last Order,Manga (19 vols),Jul 2001 - Jan 2014
Iryuu: Team Medical Dragon,Manga (25 vols),Nov 2002 - Jan 2011
Futatsu no Spica,Manga (16 vols),Jun 2000 - Aug 2009
Shigurui,Manga (15 vols),Jun 2003 - Jul 2010
Voynich Hotel,Manga (3 vols),Oct 2006 - Mar 2015
Ore Monogatari!!,Manga (13 vols),Dec 2011 - Jul 2016
Owari no Seraph Ichinose Guren 16-sai no Catastrophe,Novel (7 vols),Jan 2013 - Dec 2016
Shingeki no Kyojin Kuinaki Sentaku,Manga (2 vols),Nov 2013 - Jun 2014
Yugami-kun ni wa Tomodachi ga Inai,Manga (16 vols),May 2012 - May 2019
Otouto no Otto,Manga (4 vols),Sep 2014 - May 2017
Sword Art Online: Project Alicization,Manga (? vols),Aug 2016 -
Sakigake!! Cromartie Koukou,Manga (17 vols),Jul 2000 - May 2006
Uzumaki,Manga (3 vols),Jan 1998 - Aug 1999
Dogs: Bullets & Carnage,Manga (? vols),Jun 2005 -
Gokusen,Manga (15 vols),Dec 1999 - Feb 2007
Hitsugikatsugi no Kuro: Kaichu Tabi no Wa,Manga (7 vols),Dec 2004 - May 2018
Saiyuuki Reload Blast,Manga (? vols),Dec 2009 -
Koi dano Ai dano,Manga (11 vols),Oct 2009 - Apr 2016
Sword Art Online,Novel (? vols),Apr 2009 -
Byousoku 5 Centimeter,Manga (2 vols),May 2010 - Mar 2011
Sakurasou no Pet na Kanojo,Novel (13 vols),Jan 2010 - Mar 2014
Kase-san Series,Manga (? vols),Aug 2010 -
Log Horizon,Novel (? vols),Apr 2010 -
Kanata no Astra,Manga (5 vols),May 2016 - Dec 2017
King's Maker,Manhwa (3 vols),Apr 2017 - Nov 2017
Initial D,Manga (48 vols),Jun 1995 - Jul 2013
Kindaichi Shounen no Jikenbo: File Series,Manga (27 vols),Oct 1992 - Oct 1997
Soul Eater,Manga (25 vols),Jun 2003 - Aug 2013
Higurashi no Naku Koro ni: Tatarigoroshi-hen,Manga (2 vols),May 2005 - May 2006
The Ravages of Time,Manhua (? vols),Jun 2001 -
Kingyosou,Manga (2 vols),Aug 2005 - Feb 2007
Ningen Shikkaku,Manga (3 vols),Feb 2009 - Apr 2011
Kingdom Hearts: 358/2 Days,Manga (5 vols),Aug 2009 - Sep 2012
Mahou Shoujo Madoka★Magica,Manga (3 vols),Feb 2011 - May 2011
Gangsta,Manga (? vols),Jan 2011 -
Soredemo Sekai wa Utsukushii,Manga (25 vols),Mar 2009 - May 2020
Magi: Sinbad no Bouken,Manga (19 vols),May 2013 - May 2018
Tomodachi Game,Manga (? vols),Dec 2013 -
Senryuu Shoujo,Manga (? vols),Oct 2016 -
Kage no Jitsuryokusha ni Naritakute!,Novel (? vols),Nov 2018 -
X,Manga (18 vols),Mar 1992 - Mar 2003
Shigeshoushi,Manga (7 vols),May 2002 - Apr 2013
Id,Manhwa (29 vols),2002 - 2013
Hokuto no Ken,Manga (27 vols),Sep 1983 - Jul 1988
Vassalord,Manga (7 vols),Nov 2004 - Feb 2013
Ashita no Ousama,Manga (10 vols),1996 - 2001
DGray-man: Reverse,Novel (3 vols),May 2005 - Dec 2010
"""Bungaku Shoujo"" Series",Novel (8 vols),Apr 2006 - Aug 2008
Chichi no Koyomi,Manga (1 vols),Apr 1994 - Sep 1994
"Steins,Gate",Manga (3 vols),Sep 2009 - Jul 2013
My Young Cat and My Old Dog,Manhwa (3 vols),Apr 2011 - Jan 2013
Douluo Dalu II: Jueshi Tangmen,Manhua (? vols),Nov 2012 -
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta,Novel (? vols),Aug 2015 -
Lookism,Manhwa (? vols),Nov 2014 -
Kage no Jitsuryokusha ni Naritakute!,Manga (? vols),Dec 2018 -
Gunslinger Girl,Manga (15 vols),May 2002 - Sep 2012
Koukaku Kidoutai: The Ghost in the Shell,Manga (1 vols),Mar 1989 - Sep 1991
Gosick,Novel (9 vols),Dec 2003 - Jul 2011
Boku no Hatsukoi wo Kimi ni Sasagu,Manga (12 vols),Aug 2005 - Jul 2008
Strobe Edge,Manga (10 vols),Jun 2007 - Aug 2010
Seiyuu Ka!,Manga (12 vols),Jun 2009 - Feb 2013
Non Non Biyori,Manga (? vols),Sep 2009 -
Yomawari Sensei,Manga (9 vols),Oct 2004 - Dec 2008
Pandora Hearts: Caucus Race,Novel (3 vols),Mar 2011 - May 2013
Byousoku 5 Centimeter,Novel (1 vols),Nov 2007 - Nov 2007
Yamada-kun to 7-nin no Majo,Manga (28 vols),Feb 2012 - Feb 2017
Ghost Hunt: Akumu no Sumu Ie,Manga (3 vols),Jul 2012 - Jul 2016
Senyuu,Manga (2 vols),May 2012 - Apr 2013
Touhou Suzunaan: Forbidden Scrollery,Manga (7 vols),Oct 2012 - Jul 2017
Tanaka-kun wa Itsumo Kedaruge,Manga (13 vols),Jul 2013 - Jul 2019
Umineko no Naku Koro ni Chiru,Novel (7 vols),Jul 2012 - Sep 2018
Re:Zero kara Hajimeru Isekai Seikatsu: Dai-3 Shou - Truth of Zero,Manga (? vols),May 2015 -
Kishuku Gakkou no Juliet,Manga (16 vols),Jul 2015 - Sep 2019
Machikado Mazoku,Manga (? vols),Jun 2014 -
Your Letter,Manhwa (1 vols),Aug 2018 - Oct 2018
Vampire Juujikai,Manga (9 vols),Aug 2003 - Feb 2007
Bokura ga Ita,Manga (16 vols),Apr 2002 - Feb 2012
Rough,Manga (12 vols),1987 - 1989
Detroit Metal City,Manga (10 vols),Apr 2005 - Apr 2010
Oooku,Manga (? vols),Jun 2004 -
Eien no With,Manga (1 vols),2003 - 2003
Toshokan Sensou: Love & War,Manga (15 vols),Sep 2007 - Feb 2015
Oboreru Knife,Manga (17 vols),Oct 2004 - Dec 2013
Mudazumonaki Kaikaku,Manga (16 vols),Feb 2006 - 2015
Getter Robo Saga,Manga (9 vols),-
Medaka Box Gaiden: Good Loser Kumagawa,Novel (2 vols),Oct 2012 - Nov 2012
Kamisama ga Uso wo Tsuku,Manga (1 vols),Mar 2013 - Jul 2013
"Steins,Gate: Eigou Kaiki no Pandora",Manga (? vols),May 2014 -
Takane to Hana,Manga (? vols),Dec 2014 -
Nogi Wakaba wa Yuusha de Aru,Novel (2 vols),Jul 2015 - Jan 2017
Bokura no Shokutaku,Manga (1 vols),Nov 2015 - Jan 2017
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta,Manga (? vols),Aug 2017 -
Full Moon wo Sagashite,Manga (7 vols),Dec 2001 - Apr 2004
Tokyo Babylon,Manga (7 vols),1990 - 1993
Kimi wa Pet,Manga (14 vols),May 2000 - Oct 2005
Tekkon Kinkreet,Manga (3 vols),1993 - 1994
Deep Love: Ayu no Monogatari,Manga (2 vols),May 2004 - Sep 2004
Kaze to Ki no Uta,Manga (17 vols),Feb 1976 - Jun 1984
Beast Master,Manga (2 vols),Sep 2006 - Feb 2007
Kono Sekai no Katasumi ni,Manga (3 vols),Jan 2006 - Jan 2009
Ruler of the Land,Manhwa (? vols),-1995
Yowamushi Pedal,Manga (? vols),Feb 2008 -
Maoyuu Maou Yuusha: 'Kono Ware no Mono to Nare Yuusha yo' 'Kotowaru!',Manga (18 vols),Apr 2011 - Apr 2016
Higurashi no Naku Koro ni - Dai 1-wa: Onikakushi-hen,Novel (2 vols),Aug 2007 - Sep 2007
Overlord,Manga (? vols),Nov 2014 -
Karakai Jouzu no (Moto) Takagi-san,Manga (? vols),Jul 2017 -
Umarekawattemo Mata Watashi to Kekkon shitekuremasu ka,Manga (? vols),Oct 2017 -
Life,Manga (20 vols),Apr 2002 - Feb 2009
MeruPuri: Märchen☆Prince,Manga (4 vols),Aug 2002 - Sep 2004
Deadman Wonderland,Manga (13 vols),Apr 2007 - Jul 2013
Toradora!,Manga (? vols),Jul 2007 -
Hitori-tachi,Manga (1 vols),Sep 2010 - Sep 2010
Kokoro Connect,Novel (11 vols),Jan 2010 - Sep 2013
Hajimari no Niina,Manga (4 vols),Sep 2010 - Oct 2012
Dr Frost,Manhwa (? vols),Feb 2011 -
No Game No Life,Manga (? vols),Jan 2013 -
Baraou no Souretsu,Manga (? vols),Oct 2013 -
Gekijouban Mahou Shoujo Madoka★Magica: Shinpen - Hangyaku no Monogatari,Manga (3 vols),Nov 2013 - Jan 2014
Tokyo Ghoul,Novel (3 vols),Jul 2013 - Dec 2014
Usemono Yado,Manga (3 vols),Mar 2014 - Oct 2015
The God of High School,Manhwa (? vols),Apr 2011 -
Naruto,Manga (72 vols),Sep 1999 - Nov 2014
Saiyuuki,Manga (9 vols),Feb 1997 - Jan 2002
Shoukoku no Altair,Manga (? vols),Jul 2007 -
Sumire♡16-sai!!,Manga (5 vols),May 2006 - Jan 2009
Reimei no Arcana,Manga (13 vols),Jan 2009 - Jun 2013
½ Prince,Novel (9 vols),Oct 2004 - Aug 2005
Himegimi to Sanbiki no Kemono,Manga (4 vols),Feb 2009 - Mar 2011
Omoide Emanon,Manga (1 vols),Sep 2006 - Jan 2008
Shinrei Tantei Yakumo,Manga (14 vols),Jun 2009 - Jun 2016
Zoku Hoshi Mamoru Inu,Manga (1 vols),Jul 2009 - Nov 2009
Mahou Shoujo Madoka★Magica,Novel (2 vols),Aug 2011 - Aug 2011
Sword Art Online: Progressive,Manga (7 vols),Jun 2013 - Feb 2018
Ame no Hi no Iris,Novel (1 vols),May 2011 - May 2011
Noragami: Shuuishuu,Manga (? vols),Nov 2011 -
Tate no Yuusha no Nariagari,Manga (? vols),Feb 2014 -
Namaikizakari,Manga (? vols),Oct 2013 -
GTO: Paradise Lost,Manga (? vols),Apr 2014 -
Tsubaki-chou Lonely Planet,Manga (14 vols),May 2015 - Aug 2019
Kimi no Na wa Another Side: Earthbound,Novel (1 vols),Jul 2016 - Jul 2016
Gekijouban Sword Art Online: Ordinal Scale,Manga (? vols),Apr 2017 -
Nettaigyo wa Yuki ni Kogareru,Manga (? vols),Jun 2017 -
School Rumble,Manga (22 vols),Oct 2002 - Jul 2008
Saver,Manhwa (17 vols),2002 - 2010
Hana yori Dango,Manga (37 vols),Oct 1992 - Apr 2008
Gokinjo Monogatari,Manga (7 vols),Feb 1995 - Oct 1997
Sunadokei,Manga (10 vols),Aug 2003 - Aug 2006
Haruka na Machi e,Manga (2 vols),Apr 1998 - Nov 1998
Psyren,Manga (16 vols),Dec 2007 - Nov 2010
Sasameki Koto,Manga (9 vols),Jan 2007 - Sep 2011
Golden Days,Manga (8 vols),Apr 2005 - Dec 2007
Karneval,Manga (? vols),Aug 2007 -
Seitokai Yakuindomo,Manga (? vols),May 2007 -
Touhou Ibara Kasen: Wild and Horned Hermit,Manga (10 vols),Jul 2010 - Jun 2019
Seireitsukai no Blade Dance,Novel (20 vols),Dec 2010 - Mar 2019
Hori-san to Miyamura-kun,Manga (10 vols),Feb 2007 - Dec 2011
Orange Marmalade,Manhwa (8 vols),Feb 2011 - Dec 2013
Gakkougurashi!,Manga (12 vols),May 2012 - Nov 2019
The Friendly Winter,Manhwa (2 vols),Oct 2011 - Feb 2013
Hetalia World☆Stars,Manga (? vols),Sep 2014 -
Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen,Manga (5 vols),Oct 2014 - Oct 2017
Hakumei to Mikochi,Manga (? vols),Apr 2011 -
Queen's Quality,Manga (? vols),Jul 2015 -
Hoshi no Koe,Manga (1 vols),Feb 2004 - Dec 2004
Trinity Blood: Rage Against the Moons,Novel (6 vols),Mar 2001 - Dec 2004
One Thousand and One Nights,Manhwa (11 vols),2004 - 2007
Sun-Ken Rock,Manga (25 vols),Apr 2006 - Feb 2016
Hetalia Axis Powers,Manga (? vols),Mar 2008 -
Saint Seiya: The Lost Canvas - Meiou Shinwa Gaiden,Manga (16 vols),May 2011 - Mar 2016
Kagerou Daze,Manga (13 vols),Jun 2012 - Feb 2019
High Score Girl,Manga (10 vols),Oct 2010 - Sep 2018
Douluo Dalu,Manhua (? vols),-2011
Donten ni Warau Gaiden,Manga (3 vols),Dec 2013 - Feb 2017
Blue Giant,Manga (10 vols),May 2013 - Aug 2016
Hitoribocchi no ○○ Seikatsu,Manga (? vols),Sep 2013 -
Kono Subarashii Sekai ni Shukufuku wo! Spin-off: Kono Kamen no Akuma ni Soudan wo!,Novel (1 vols),Sep 2015 - Dec 2015
Shin Petshop of Horrors,Manga (12 vols),Apr 2004 - Nov 2012
Spiral: Suiri no Kizuna,Manga (15 vols),Aug 1999 - Oct 2005
The Summit,Manhwa (7 vols),2005 - 2011
Ore to Akuma no Blues,Manga (? vols),Jan 2005 -
Hidamari Sketch,Manga (? vols),Feb 2004 -
Kubikiri Asa,Manga (10 vols),1972 - 1976
Tobaku Datenroku Kaiji,Manga (13 vols),Nov 2004 - Apr 2008
Tobaku Haouden Zero,Manga (8 vols),Sep 2007 - Feb 2009
D-Frag!,Manga (? vols),Jul 2008 -
Nozoki Ana,Manga (13 vols),Jan 2009 - Feb 2013
Tomodachi no Hanashi,Manga (1 vols),Mar 2009 - Sep 2010
Nijiiro Days,Manga (16 vols),Dec 2011 - May 2018
Kanshikan Tsunemori Akane,Manga (6 vols),Nov 2012 - Dec 2014
Saenai Heroine no Sodatekata,Novel (13 vols),Jul 2012 - Oct 2017
Rakudai Kishi no Cavalry,Novel (? vols),Jul 2013 -
Yahari Ore no Seishun Love Comedy wa Machigatteiru @comic,Manga (? vols),Dec 2012 -
Doukyuusei: Gold Ring & Silver Ring,Manga (1 vols),Nov 2016 - Nov 2016
5-toubun no Hanayome,Manga (14 vols),Aug 2017 - Feb 2020
Saihate no Paladin,Manga (? vols),Sep 2017 -
Kengan Omega,Manga (? vols),Jan 2019 -
Aqua,Manga (2 vols),Jan 2001 - Sep 2001
Tsuki no Shippo,Manga (15 vols),Mar 2003 - Aug 2007
Mekakushi no Kuni,Manga (9 vols),Dec 1998 - Jan 2004
Penguin Kakumei,Manga (7 vols),Aug 2004 - Dec 2007
Ludwig Kakumei,Manga (4 vols),Nov 1998 - Jul 2007
Deep Love: Pao no Monogatari,Manga (2 vols),2005 - 2005
Shiki,Manga (11 vols),Dec 2007 - Jun 2011
New York New York,Manga (4 vols),1995 - 1998
Princess,Manhwa (? vols),-1995
Hanma Baki,Manga (37 vols),Dec 2005 - Aug 2012
Baka to Test to Shoukanjuu,Novel (18 vols),Jan 2007 - Mar 2015
Private Opinion: Banana Fish Another Story,Manga (1 vols),Dec 1995 - Dec 1995
Kami nomi zo Shiru Sekai,Novel (2 vols),May 2009 - May 2010
Campione!,Novel (21 vols),May 2008 - Nov 2017
The Pale Horse,Manhwa (? vols),-2010
"Steins,Gate: Aishin Meizu no Babel",Manga (4 vols),May 2012 - Jan 2014
Chichikogusa,Manga (8 vols),Jan 2013 - Mar 2018
Pinocchio,Manhwa (7 vols),Apr 2011 - Mar 2013
Afterschool War Activities,Manhwa (5 vols),Nov 2012 - Dec 2013
Kobayashi-san Chi no Maid Dragon,Manga (? vols),May 2013 -
Shiori Experience: Jimi na Watashi to Hen na Ojisan,Manga (? vols),Oct 2013 -
Goblin Slayer Gaiden: Year One,Manga (? vols),Sep 2017 -
Kekkaishi,Manga (35 vols),Feb 2004 - Apr 2011
Yamato Nadeshiko Shichihenge♥,Manga (36 vols),Mar 2000 - Jan 2015
Mahoraba,Manga (12 vols),Jul 2001 - Jul 2006
Saishuu Heiki Kanojo,Manga (7 vols),Dec 1999 - Oct 2001
Elfen Lied,Manga (12 vols),Jun 2002 - Aug 2005
Shi ga Futari wo Wakatsu made,Manga (26 vols),Jun 2005 - Nov 2015
Soredemo Machi wa Mawatteiru,Manga (16 vols),Mar 2005 - Oct 2016
Umineko no Naku Koro ni - Episode 1: Legend of the Golden Witch,Manga (4 vols),Dec 2007 - Aug 2009
Nurarihyon no Mago,Manga (25 vols),Mar 2008 - Dec 2012
Moribito Series,Novel (10 vols),Jul 1996 - Feb 2007
Zetsuen no Tempest,Manga (10 vols),Jul 2009 - Oct 2013
Trace,Manhwa (? vols),Apr 2007 - Feb 2009
All You Need Is Kill,Novel (1 vols),Dec 2004 - Dec 2004
Tetsugaku Letra,Manga (6 vols),Apr 2011 - Dec 2014
Toaru Majutsu no Index SS,Novel (2 vols),Jul 2007 - Nov 2008
Arte,Manga (? vols),Oct 2013 -
Tomo-chan wa Onnanoko!,Manga (8 vols),Apr 2015 - Jul 2019
Goblin Slayer,Novel (? vols),Feb 2016 -
Shuumatsu Nani Shitemasu ka Mou Ichido dake Aemasu ka?,Novel (? vols),Apr 2016 -
Runway de Waratte,Manga (? vols),May 2017 -
Super Secret,Manhwa (? vols),Mar 2015 - Jan 2018
Battle Royale,Manga (15 vols),2000 - 2005
Mx0,Manga (10 vols),May 2006 - May 2008
Dragon Quest: Dai no Daibouken,Manga (37 vols),Oct 1989 - Nov 1996
Hydra,Manga (3 vols),2004 - 2004
Candy Candy,Manga (9 vols),Apr 1975 - Mar 1979
Tenshi Nanka ja Nai,Manga (8 vols),Sep 1991 - Nov 1994
Five Star Stories,Manga (? vols),Apr 1986 -
Moe Kare!!,Manga (7 vols),Jul 2005 - Sep 2006
Kiss yori mo Hayaku,Manga (12 vols),Jan 2007 - Jun 2012
Clannad: Tomoyo After,Manga (1 vols),Apr 2007 - Oct 2007
Hyakki Yakoushou,Manga (? vols),-1995
Hakkenden: Touhou Hakken Ibun,Manga (? vols),Jun 2005 -
L Change the WorLd,Novel (1 vols),Dec 2007 - Dec 2007
Capeta,Manga (32 vols),Feb 2003 - Mar 2013
Getter Robo Go,Manga (7 vols),Feb 1991 - Jan 1992
Ao no Exorcist,Manga (? vols),Apr 2009 -
Giant Killing,Manga (? vols),Jan 2007 -
Satougashi no Dangan wa Uchinukenai: A Lollypop or A Bullet,Manga (2 vols),Jan 2007 - Jan 2008
Nana to Kaoru: Black Label,Manga (5 vols),Jul 2010 - Apr 2014
Iris Zero,Manga (? vols),Apr 2009 -
Black Lagoon,Novel (? vols),Jul 2008 -
The Stories of Those Around Me,Manhwa (4 vols),Apr 2012 - Jun 2013
Ookami Shounen wa Kyou mo Uso wo Kasaneru,Manga (5 vols),Aug 2014 - Dec 2017
Fate/stay night: Heaven's Feel,Manga (? vols),May 2015 -
Ganbare! Nakamura-kun!!,Manga (1 vols),Dec 2014 - Aug 2016
Doukyonin wa Hiza Tokidoki Atama no Ue,Manga (? vols),Jun 2015 -
Mahou Sensei Negima!,Manga (38 vols),Feb 2003 - Mar 2012
Nousatsu Junkie,Manga (16 vols),Oct 2003 - Nov 2008
Kitchen no Ohimesama,Manga (10 vols),Aug 2004 - Sep 2008
Cesare: Hakai no Souzousha,Manga (? vols),Mar 2005 -
Higurashi no Naku Koro ni: Himatsubushi-hen,Manga (2 vols),Sep 2006 - Jan 2007
Special A,Manga (17 vols),Feb 2003 - Mar 2009
Uragiri wa Boku no Namae wo Shitteiru,Manga (13 vols),Sep 2005 - Apr 2017
Shakugan no Shana,Novel (22 vols),Nov 2002 - Oct 2011
Umineko no Naku Koro ni - Episode 2: Turn of the Golden Witch,Manga (5 vols),Jul 2009 - Dec 2010
Bokura no Kiseki,Manga (? vols),Nov 2007 -
Saiyaku wa Boku wo Suki Sugiru,Manga (? vols),Nov 2009 -
Kyou no Kira-kun,Manga (9 vols),Sep 2011 - Aug 2014
Hataraku Maou-sama!,Manga (? vols),Dec 2011 -
Higurashi no Naku Koro ni - Dai 2-wa: Watanagashi-hen,Novel (2 vols),Oct 2007 - Nov 2007
Koushaku Reijou no Tashinami,Novel (? vols),Nov 2015 -
Kumo desu ga Nani ka?,Manga (? vols),Dec 2015 -
Watashi no Shounen,Manga (? vols),Dec 2015 -
Ranma ½,Manga (38 vols),Aug 1987 - Feb 1996
Kobato,Manga (6 vols),Dec 2004 - Jul 2011
Hatenkou Yuugi,Manga (? vols),Nov 1999 -
Vampire Hunter D,Novel (? vols),-1983
Nabari no Ou,Manga (14 vols),May 2004 - Aug 2010
Worst,Manga (33 vols),Sep 2001 - Jul 2013
Mademoiselle Butterfly,Manga (2 vols),Dec 2001 - Aug 2006
Bartender,Manga (21 vols),Dec 2004 - Nov 2009
Subaru,Manga (11 vols),Dec 1999 - Nov 2002
Moon: Subaru Solitude Standing,Manga (9 vols),Aug 2007 - Oct 2011
Kouya no Tenshidomo,Manga (3 vols),Mar 1983 - Jun 1984
Kimi no Iru Machi,Manga (27 vols),May 2008 - Feb 2014
Code Geass: Hangyaku no Lelouch,Novel (5 vols),Apr 2007 - Mar 2008
Sarashi Asobi,Manga (2 vols),Jan 2008 - Dec 2009
Inu x Boku SS,Manga (11 vols),Apr 2009 - Feb 2014
Ouran Koukou Host Club,Novel (2 vols),Apr 2008 - Sep 2009
"Steins,Gate: Onshuu no Brownian Motion",Manga (2 vols),Jul 2010 - Apr 2012
Gekkou,Novel (1 vols),Sep 2010 - Sep 2010
Yahari Ore no Seishun Love Comedy wa Machigatteiru: Monologue,Manga (? vols),Sep 2012 -
K Side:Red,Novel (1 vols),Nov 2012 - Nov 2012
Jitsu wa Watashi wa,Manga (22 vols),Jan 2013 - Feb 2017
Sousei no Onmyouji,Manga (? vols),Nov 2013 -
Fairy Tail Zerø,Manga (1 vols),Jul 2014 - Jul 2015
The New Gate,Novel (? vols),Dec 2013 -
Tsuki ga Michibiku Isekai Douchuu,Novel (? vols),May 2013 -
Niehime to Kemono no Ou,Manga (? vols),Nov 2015 -
Yuukoku no Moriarty,Manga (? vols),Aug 2016 -
Suzuka,Manga (18 vols),Feb 2004 - Sep 2007
VB Rose,Manga (14 vols),Aug 2004 - May 2009
Akagi: Yami ni Oritatta Tensai,Manga (36 vols),Jun 1991 - Feb 2018
07-Ghost,Manga (17 vols),Apr 2005 - Aug 2013
Kieli: Shisha-tachi wa Kouya ni Nemuru,Manga (2 vols),Dec 2005 - Aug 2006
Acid Town,Manga (? vols),Mar 2008 -
Angel Beats!: Heaven's Door,Manga (11 vols),Mar 2010 - Oct 2016
Maoyuu Maou Yuusha,Novel (5 vols),Dec 2010 - Jan 2012
Buttobi Itto,Manga (26 vols),-1999
Mahou Shoujo Ikusei Keikaku,Novel (? vols),Jun 2012 -
Higurashi no Naku Koro ni - Dai 3-wa: Tatarigoroshi-hen,Novel (2 vols),Dec 2007 - Jan 2008
Kuroko no Basket: Extra Game,Manga (2 vols),Dec 2014 - Mar 2016
Chainsaw Man,Manga (? vols),Dec 2018 -
Mieruko-chan,Manga (? vols),Nov 2018 -
Giji Harem,Manga (? vols),Jun 2018 -
Ichigo Mashimaro,Manga (? vols),Feb 2002 -
Sono Yubi dake ga Shitteiru,Manga (1 vols),Nov 2002 - Nov 2002
hack//AI Buster,Novel (2 vols),Oct 2002 - Jun 2005
Marie no Kanaderu Ongaku,Manga (2 vols),Dec 1999 - Sep 2001
Shitsuji-sama no Okiniiri,Manga (21 vols),Nov 2006 - May 2015
Kon no Ki Konoha,One-shot (? vols),Dec 2007 - Dec 2007
½ Prince,Manhua (16 vols),Jan 2007 - Jul 2014
Thomas no Shinzou,Manga (3 vols),May 1974 - Nov 1974
Kimi ni shika Kikoenai,Manga (1 vols),Dec 2003 - Dec 2003
Kiba no Tabishounin: The Arms Peddler,Manga (? vols),May 2010 -
Akame ga Kill!,Manga (15 vols),Apr 2010 - Dec 2016
Rengoku ni Warau,Manga (? vols),Dec 2013 -
Kamisu Reina Series,Novel (2 vols),Dec 2005 - Jan 2006
Boku no Hero Academia: Yuuei Hakusho,Novel (? vols),Apr 2016 -
Dokgo,Manhwa (6 vols),Dec 2012 - Feb 2014
Ao no Flag,Manga (8 vols),Feb 2017 - Apr 2020
Genjitsu Shugi Yuusha no Oukoku Saikenki,Novel (? vols),May 2016 -
Sweet Home,Manhwa (? vols),Oct 2017 -
Rave,Manga (35 vols),Jul 1999 - Jul 2005
Aishiteruze Baby★★,Manga (7 vols),Mar 2002 - Dec 2004
Tenshi Kinryouku,Manga (20 vols),Feb 1995 - Feb 2001
Hakushaku Cain Series,Manga (5 vols),1992 - 1994
Tengen Toppa Gurren Lagann,Manga (10 vols),Apr 2007 - May 2013
Top Secret,Manga (12 vols),Feb 1999 - Jun 2012
Shibatora,Manga (15 vols),2006 - 2009
Hanbun no Tsuki ga Noboru Sora,Novel (8 vols),Oct 2003 - Aug 2006
Koizora: Setsunai Koimonogatari,Manga (10 vols),2007 - 2009
Shinrei Tantei Yakumo: Akai Hitomi wa Shitteiru,Manga (2 vols),Mar 2007 - Jan 2008
Rec: Kimi ga Naita Hi,Manga (1 vols),Nov 2010 - Feb 2011
Hyouka,Manga (? vols),Jan 2012 -
Madan no Ou to Vanadis,Novel (18 vols),Apr 2011 - Nov 2017
High☆Speed!,Novel (2 vols),Jul 2013 - Jul 2014
Colette wa Shinu Koto ni Shita,Manga (? vols),Nov 2013 -
K: Lost Small World,Novel (1 vols),Apr 2014 - Apr 2014
Mushoku Tensei: Isekai Ittara Honki Dasu,Manga (? vols),May 2014 -
Shinigami wo Tabeta Shoujo,Novel (2 vols),Dec 2012 - Dec 2012
Hoankan Evans no Uso: Dead or Love,Manga (? vols),Apr 2017 -
Hige wo Soru Soshite Joshikousei wo Hirou,Novel (? vols),Feb 2018 -
Houkago Hokenshitsu,Manga (10 vols),Dec 2004 - 2008
Karakuri Circus,Manga (43 vols),Jul 1997 - May 2006
Densha Otoko: Net Hatsu Kakueki Teisha no Love Story,Manga (3 vols),Jan 2005 - Sep 2005
Kagen no Tsuki,Manga (3 vols),1998 - 1999
Seikai no Monshou,Novel (3 vols),Apr 1996 - Jun 1996
Saint☆Oniisan,Manga (? vols),Aug 2006 -
Ilegenes: Kokuyou no Kiseki,Manga (5 vols),Oct 2007 - Jul 2010
Doraemon Plus,Manga (6 vols),1970 - 1990
