title,type,dates
Neon Genesis Evangelion,Manga (14 vols),Dec 1994 - Jun 2013
Hi no Tori (1967),Manga (16 vols),Jan 1967 - Feb 1988
Kamisama Hajimemashita,Manga (25 vols),Feb 2008 - May 2016
Chihayafuru,Manga (? vols),Dec 2007 -
Diamond no Ace Act II,Manga (? vols),Aug 2015 -
86,Novel (? vols),Feb 2017 -
Eyeshield 21,Manga (37 vols),Jul 2002 - Jun 2009
Ohayou Ibarahime,Manga (6 vols),Nov 2014 - May 2017
Gintama,Manga (77 vols),Dec 2003 - Jun 2019
Cross Game,Manga (17 vols),Sep 2005 - Feb 2010
Juuni Kokuki,Novel (? vols),Jun 1992 -
Kami nomi zo Shiru Sekai,Manga (26 vols),Apr 2008 - Apr 2014
No6,Novel (9 vols),Oct 2003 - Jun 2011
Koe no Katachi One-shot, (? vols),Jan 2011 - Jan 2011
Kimi no Na wa,Manga (3 vols),May 2016 - Jan 2017
Holyland,Manga (18 vols),Oct 2000 - May 2008
Ginga Eiyuu Densetsu,Novel (10 vols),Nov 1982 - Nov 1987
Noragami,Manga (? vols),Dec 2010 -
Horimiya,Manga (? vols),Oct 2011 -
Fruits Basket,Manga (23 vols),Jul 1998 - Nov 2006
Kyou kara Ore wa!!,Manga (38 vols),1988 - Oct 1997
Hinamatsuri,Manga (? vols),Jun 2010 -
Umineko no Naku Koro ni,Novel (8 vols),Jul 2009 - Aug 2010
Golden Kamuy,Manga (? vols),Aug 2014 -
Kimi no Suizou wo Tabetai,Manga (2 vols),Aug 2016 - May 2017
Kuroshitsuji,Manga (? vols),Sep 2006 -
Onanie Master Kurosawa,Manga (4 vols),Sep 2007 - Mar 2008
The Breaker New Waves,Manhwa (20 vols),Oct 2010 - May 2015
Fullmetal Alchemist,Novel (7 vols),Feb 2003 - Apr 2010
Kokou no Hito,Manga (17 vols),2007 - 2012
Hoshi no Samidare,Manga (10 vols),Jun 2005 - Aug 2010
Steins Gate,Novel (5 vols),Jun 2011 - May 2012
Nodame Cantabile,Manga (25 vols),Jul 2001 - Aug 2010
Bakuman,Manga (20 vols),Aug 2008 - Apr 2012
Barakamon,Manga (18 vols),Feb 2008 - Jan 2019
Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch,Manga (6 vols),Oct 2010 - Nov 2012
Kimetsu no Yaiba,Manga (? vols),Feb 2016 - May 2020
Bakemonogatari,Manga (? vols),Mar 2018 -
Dragon Ball,Manga (42 vols),Nov 1984 - May 1995
Blade of the Immortal,Manga (30 vols),Jun 1993 - Dec 2012
Gunnm,Manga (9 vols),Nov 1990 - Mar 1995
Glass no Kamen,Manga (? vols),Jan 1976 -
Ookami to Koushinryou,Manga (16 vols),Sep 2007 - Dec 2017
Annarasumanara,Manhwa (3 vols),Jul 2010 - Dec 2010
Mahoutsukai no Yome,Manga (? vols),Nov 2013 -
Youjo Senki,Novel (? vols),Oct 2013 -
SQ: Begin W/Your Name!,Manhua (1 vols),Oct 2015 - Oct 2015
Basara,Manga (27 vols),Aug 1990 - May 1998
My Girl,Manga (5 vols),Jun 2006 - Sep 2010
Rainbow: Nisha Rokubou no Shichinin,Manga (22 vols),Nov 2002 - Jan 2010
Orange,Manga (6 vols),Mar 2012 - Jan 2017
Boku dake ga Inai Machi,Manga (9 vols),Jun 2012 - Nov 2016
Boku no Hero Academia,Manga (? vols),Jul 2014 -
Fumetsu no Anata e,Manga (? vols),Nov 2016 -
Shin Angyo Onshi,Manga (17 vols),Mar 2001 - Aug 2007
Doraemon,Manga (45 vols),Dec 1969 - 1996
Toaru Majutsu no Index,Novel (22 vols),Apr 2004 - Oct 2010
Ookami Kodomo no Ame to Yuki,Manga (3 vols),Apr 2012 - Aug 2013
Kusuriya no Hitorigoto,Manga (? vols),May 2017 -
Kaichou wa Maid-sama!,Manga (18 vols),Dec 2005 - Sep 2013
Durarara!!,Novel (13 vols),Apr 2004 - Jan 2014
Ballroom e Youkoso,Manga (? vols),Nov 2011 -
Lovely Complex,Manga (17 vols),Aug 2001 - Aug 2007
Kiseijuu,Manga (10 vols),Nov 1989 - Dec 1995
Dengeki Daisy,Manga (16 vols),May 2007 - Dec 2013
Something About Us,Manhwa (5 vols),Oct 2014 - Oct 2016
Komi-san wa Comyushou desu,Manga (? vols),May 2016 -
Here U Are,Manhua (? vols),Nov 2017 -
xxxHOLiC,Manga (19 vols),Feb 2003 - Feb 2011
Cardcaptor Sakura,Manga (12 vols),May 1996 - Jul 2000
Kanata kara,Manga (14 vols),Sep 1991 - Jan 2003
Piano no Mori,Manga (26 vols),Aug 1998 - Nov 2015
Hadashi no Gen,Manga (10 vols),May 1973 - Sep 1974
Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch,Manga (9 vols),Apr 2011 - Mar 2015
JoJo no Kimyou na Bouken Part 8: JoJolion,Manga (? vols),May 2011 -
Tensei shitara Slime Datta Ken,Novel (? vols),May 2014 -
Liar Game,Manga (19 vols),Feb 2005 - Jan 2015
Ping Pong,Manga (5 vols),1996 - 1997
Hana to Akuma,Manga (10 vols),Oct 2007 - Nov 2010
Machida-kun no Sekai,Manga (7 vols),Jun 2013 - Apr 2018
Full Metal Panic! Sigma,Manga (19 vols),Apr 2005 - Sep 2013
SKET Dance,Manga (32 vols),Jul 2007 - Jul 2013
Tobaku Mokushiroku Kaiji,Manga (13 vols),Feb 1996 - Jul 1999
Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken,Novel (1 vols),Aug 2006 - Aug 2006
Love So Life,Manga (17 vols),Apr 2008 - Jul 2015
No6,Manga (9 vols),Jan 2011 - Nov 2013
Sakamichi no Apollon: Bonus Track,Manga (1 vols),Mar 2012 - Jul 2012
Chichi to Hige-Gorilla to Watashi,Manga (7 vols),Feb 2011 - Nov 2018
Tensei shitara Slime Datta Ken,Manga (? vols),Mar 2015 -
Act-age,Manga (? vols),Jan 2018 -
Azumanga Daioh,Manga (4 vols),Jan 1999 - Mar 2002
Planetes,Manga (4 vols),Jan 1999 - Jan 2004
Komatta Toki ni wa Hoshi ni Kike,Manga (26 vols),Mar 1997 - May 2005
Noblesse,Manhwa (? vols),Dec 2007 - Jan 2019
Imawa no Kuni no Alice,Manga (18 vols),Nov 2010 - Mar 2016
Feng Shen Ji II,Manhua (? vols),2011 - 2012
Feng Shen Ji III,Manhua (? vols),2012 - 2014
Bungou Stray Dogs,Manga (? vols),Dec 2012 -
Canis Series,Manga (? vols),Jun 2012 -
Hidamari ga Kikoeru,Manga (? vols),Dec 2013 -
Vanitas no Carte,Manga (? vols),Dec 2015 -
Tongari Boushi no Atelier,Manga (? vols),Jul 2016 -
Sora wa Akai Kawa no Hotori,Manga (28 vols),Jan 1995 - Jun 2002
Hellsing,Manga (10 vols),1997 - Sep 2008
Tokyo Crazy Paradise,Manga (19 vols),Dec 1996 - Apr 2002
Angel Densetsu,Manga (15 vols),May 1992 - Feb 2000
Hachimitsu to Clover,Manga (10 vols),Apr 2000 - Jul 2006
Tobaku Hakairoku Kaiji,Manga (13 vols),Nov 2000 - Apr 2004
Toradora!,Novel (10 vols),Mar 2006 - Mar 2009
Billy Bat,Manga (20 vols),Oct 2008 - Aug 2016
Daichouhen Doraemon,Manga (24 vols),Jan 1980 - Mar 2004
Blue Period,Manga (? vols),Jun 2017 -
Gakuen Alice,Manga (31 vols),Sep 2002 - Jun 2013
Mars,Manga (15 vols),Jan 1996 - Nov 2000
Claymore,Manga (27 vols),May 2001 - Oct 2014
Hourou Musuko,Manga (15 vols),Nov 2002 - Jul 2013
Konjiki no Gash!!,Manga (33 vols),Jan 2001 - Dec 2007
Touch,Manga (26 vols),Aug 1981 - Nov 1986
Saiyuuki Gaiden,Manga (4 vols),May 1999 - May 2009
Higurashi no Naku Koro ni Kai: Meakashi-hen,Manga (4 vols),Jan 2007 - Jun 2008
Saikyou Densetsu Kurosawa,Manga (11 vols),Jan 2003 - Sep 2006
Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch,Manga (6 vols),Nov 2010 - Nov 2012
Can't See Can't Hear But Love,Manhwa (6 vols),Oct 2010 - Aug 2011
Tsubasa: RESERVoir CHRoNiCLE,Manga (28 vols),May 2003 - Oct 2009
Petshop of Horrors,Manga (10 vols),1995 - 1998
Buddha,Manga (14 vols),Sep 1972 - Nov 1983
Higurashi no Naku Koro ni Kai: Tsumihoroboshi-hen,Manga (4 vols),Jun 2006 - Apr 2008
Black Jack,Manga (25 vols),Nov 1973 - Oct 1983
Nichijou,Manga (10 vols),Jun 2006 - Oct 2015
Magi,Manga (37 vols),Jun 2009 - Oct 2017
Gakuen Babysitters,Manga (? vols),Sep 2009 -
Taiyou no Ie,Manga (13 vols),Apr 2010 - May 2015
Mahouka Koukou no Rettousei,Novel (? vols),Jul 2011 -
Sword Art Online: Progressive,Novel (? vols),Oct 2012 -
Dungeon Meshi,Manga (? vols),Feb 2014 -
Cheese in the Trap Season 3,Manhwa (12 vols),Jan 2013 - Aug 2015
Cheese in the Trap Season 4,Manhwa (7 vols),Sep 2015 - Mar 2017
Kodomo no Omocha,Manga (10 vols),Jul 1994 - Oct 1998
Hanazakari no Kimitachi e,Manga (23 vols),Aug 1996 - Aug 2004
Blame!,Manga (10 vols),Nov 1996 - Jul 2003
Versailles no Bara,Manga (10 vols),1972 - 1973
Eden: It's an Endless World!,Manga (18 vols),Sep 1997 - Jun 2008
7 Seeds,Manga (35 vols),Oct 2001 - May 2017
Silver Diamond,Manga (27 vols),Aug 2003 - May 2012
Higurashi no Naku Koro ni Kai: Minagoroshi-hen,Manga (6 vols),Jun 2008 - Jun 2010
Gin no Saji,Manga (? vols),Mar 2011 -
Rokka no Yuusha,Novel (? vols),Aug 2011 -
Seishun Buta Yarou Series,Novel (? vols),Apr 2014 -
Kumo desu ga Nani ka?,Novel (? vols),Dec 2015 -
4 Cut Hero,Manhwa (? vols),Aug 2014 -
Sanctuary,Manga (12 vols),1990 - 1995
Cat Street,Manga (8 vols),Jul 2004 - Sep 2007
Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch,Manga (5 vols),Sep 2009 - Jun 2011
Ansatsu Kyoushitsu,Manga (21 vols),Jul 2012 - Apr 2016
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Novel (12 vols),Apr 2011 - Apr 2015
Hai to Gensou no Grimgar,Novel (? vols),Jun 2013 -
Tsurezure Children,Manga (12 vols),Jan 2012 - Jul 2018
Youjo Senki,Manga (? vols),Apr 2016 -
Cheese in the Trap Season 2,Manhwa (9 vols),Jun 2011 - Oct 2012
