anime_series_animedb_id,anime_series_title,anime_series_type,anime_series_episodes,anime_watched_episodes,anime_my_status
38524,Shingeki no Kyojin Season 3 Part 2,TV,10,10,Completed
36106,Shingeki no Kyojin: Lost Girls,OVA,3,3,Completed
40028,Shingeki no Kyojin: The Final Season,TV,16,16,Completed
48583,Shingeki no Kyojin: The Final Season Part 2,TV,12,12,Plan to Watch
25835,Shirobako,TV,24,24,On-Hold
48849,Sonny Boy,TV,12,12,Completed
48736,Sono Bisque Doll wa Koi wo Suru,TV,12,12,Plan to Watch
35790,Tate no Yuusha no Nariagari,TV,25,25,Completed
37430,Tensei shitara Slime Datta Ken,TV,24,24,Completed
39551,Tensei shitara Slime Datta Ken 2nd Season,TV,12,12,Completed
41487,Tensei shitara Slime Datta Ken 2nd Season Part 2,TV,12,12,Completed
49877,Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen,Movie,1,1,Plan to Watch
2236,Toki wo Kakeru Shoujo,Movie,1,1,Completed
22319,Tokyo Ghoul,TV,12,12,Completed
27899,Tokyo Ghoul √A,TV,12,12,Completed
36511,Tokyo Ghoul:re,TV,12,12,Completed
37799,Tokyo Ghoul:re 2nd Season,TV,12,12,Completed
42249,Tokyo Revengers,TV,24,24,Completed
50608,Tokyo Revengers: Seiya Kessen-hen,TV,0,0,Plan to Watch
4224,Toradora!,TV,25,25,Completed
28025,Tsukimonogatari,TV,4,4,Plan to Watch
33352,Violet Evergarden,TV,13,13,Completed
37987,Violet Evergarden Movie,Movie,1,1,Completed
43299,Wonder Egg Priority,TV,12,12,Completed
48614,Wonder Egg Priority Special,Special,1,1,Completed
37786,Yagate Kimi ni Naru,TV,13,13,Completed
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,TV,13,13,Completed
39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV,12,12,Completed
46431,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan OVA,OVA,1,1,Plan to Watch
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,13,13,Completed
33161,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,OVA,1,1,Completed
37779,Yakusoku no Neverland,TV,12,12,Completed
10495,Yuru Yuri,TV,12,12,Completed
23225,Yuru Yuri Nachuyachumi!,OVA,1,1,Completed
30902,Yuru Yuri Nachuyachumi! Plus,Special,2,2,Completed
30279,Yuru Yuri San Hai!,TV,12,12,Completed
37773,Yuru Yuri OVA,1,1,Completed
12403,Yuru Yuri 2,TV,12,12,Completed
23283,Zankyou no Terror,TV,11,11,Completed
